;2015;2014;2013;2012;2011;2010
never Changing Person ID;persnr;persnr;persnr;persnr;persnr;persnr
Year of Birth;bfpbirthy;bep12603;bdp13403;bcp12803;bbp13202;bap15002
Sex;bfpsex;bep12601;bdp13401;bcp12801;bbp13201;bap15001
Black Economy Work in Personal Environment 2014;bfp08;;;;;
Black Economy Work Personal Environment Today;bfp09;;;;;
Hours Weekdays Job, Training;bfp1001;bep0501;bdp1001;bcp0401;bbp0201;bap0301
Hours Weekdays Running Errands;bfp1002;bep0502;bdp1002;bcp0402;bbp0202;bap0302
Hours Weekday Housework;bfp1003;bep0503;bdp1003;bcp0403;bbp0203;bap0303
Hours Weekday Child Care;bfp1004;bep0504;bdp1004;bcp0404;bbp0204;bap0304
Support Persons in Care, Weekday;bfp1005;bep0505;bdp1005;bcp0405;bbp0205;bap0305
Hours Weekdays Training, Education;bfp1006;bep0506;bdp1006;bcp0406;bbp0206;bap0306
Hours Weekday Repairs;bfp1007;bep0507;bdp1007;bcp0407;bbp0207;bap0307
Hours Weekdays Physical Activities;bfp1008;bep0508;bdp1008;bcp0408;bbp0208;bap0308
Hours Weekday Leisure, Hobbies;bfp1009;bep0509;bdp1009;bcp0409;bbp0209;bap0309
Registered Unemployed;bfp15;bep09;bdp15;bcp08;bbp06;bap06
Now Receiving Education, Training;bfp1601;bep1001;bdp16;bcp09;bbp07;bap07
Now General-Education School;bfp1701;bep1101;bdp1701;bcp1001;bbp0801;bap0801
Now Specialized College;bfp1702;bep1102;bdp1702;bcp1002;bbp0802;bap0802
Vocational Training: Further Training/Retraining;bfp1707;bep1106;bdp1706;bcp1106;bbp0804;bap0804
Now Vocational Training;bfp1709;bep1107;bdp1707;bcp1007;bbp0805;bap0805
Left Job Since Beginning of Prev Year;bfp26;bep78;bdp91;bcp73;bbp85;bap75
Last Job Ended - Item Nonresponse;bfp2703;bep7903;bdp9203;bcp7403;bbp8603;bap76
Years Worked on Last Job;bfp2801;bep8001;bdp9301;bcp7501;bbp8701;bap7701
Why Job Terminated;bfp29;bep81;bdp94;bcp76;bbp88;bap78
Future Job Prospects;bfp31;bep83;bdp96;bcp78;bbp90;bap80
Employment Status;bfp32;bep12;bdp18;bcp11;bbp09;bap09
Monthly Salary at which would take Job;bfp3701;bep1701;bdp2301;bcp1601;bbp1401;bap1401
Temporary or Contractual Basis;bfp60;bep37;bdp48;bcp37;bbp39;bap35
Duration of Work ;bfp61;bep38;bdp49;bcp38;bbp40;bap36
1-Euro-Job;bfp62;;;;;
Just Gross Income;bfp67;;;;;
Just Net Income;bfp69;;;;;
Difficulty of Finding New Job;bfp71;bep40;bdp55;bcp41;bbp46;bap40
Working Days per Week;bfp8001;;bdp6301;bcp4701;bbp5401;
Contracted Working Hours;bfp8101;bep4701;bdp6501;bcp5001;bbp6301;bap5001
Flexible Hours of Work per Week;bfp8102;bep4702;bdp6502;bcp5002;bbp6302;bap5002
Hours per Week Actual;bfp82;bep48;bdp66;bcp51;bbp64;bap51
Mini- Job, Midi- Job;bfp83;bep49;bdp67;bcp52;bbp65;bap52
Changes in Labor Intensity;bfp91;;;;;
Do not Take Paid Breaks;bfp9602;;;;;
Work Overtime;bfp97;bep52;bdp72;bcp55;bbp69;bap57
Financial Compensation for Overtime;bfp10101;;;;;
Tariff Standard in Earnings;bfp103;;;;;
Collective Wage Agreement Minimum Wage;bfp10401;;;;;
Minimum Wage EUR;bfp10402;;;;;
Minimum Wage Cent;bfp10403;;;;;
Fixed Minimum Wage Prev. Yr;bfp10501;;;;;
Minimum Wage Pr Yr Eur;bfp10502;;;;;
Minimum Wage Pr Yr Cents;bfp10503;;;;;
Bonus for Work Under Difficult Conditions;bfp10603;bep5803;;bcp6003;;bap6203
Additional Regular Payment;bfp10604;bep5804;;bcp604;;bap6204
Tips;bfp10605;bep5805;;bcp6005;;bap6205
Benefits from Employers: Meal Stipend;bfp10701;bep5901;;bcp6101;;bap6301
Benefits from Employers: Company car;bfp10702;bep5902;;bcp6102;;bap6302
Benefits from Employers: Cell Phone;bfp10703;bep5903;;bcp6103;;bap6303
Benefits from Employers: Expense Payments;bfp10704;bep5904;;bcp6104;;bap6304
Benefits from Employers: Personal Computer;bfp10705;bep5905;;bcp6105;;bap6305
Benefits from Employers: Other Benefits;bfp10706;bep5906;;bcp6106;;bap6306
Benefits from Employers: None;bfp10707;bep5907;;bcp6107;;bap6307
