;2010;2011;2012;2013;2014;2015;
never Changing Person ID;persnr;persnr;persnr;persnr;persnr;persnr;
Year of Birth;bap15002;bbp13202;bcp12803;bdp13403;bep12603;bfpbirthy;
Sex;bap15001;bbp13201;bcp12801;bdp13401;bep12601;bfpsex;
Black Economy Work in Personal Environment 2014;NA;NA;NA;NA;NA;bfp08;
Black Economy Work Personal Environment Today;NA;NA;NA;NA;NA;bfp09;
Hours Weekdays Job, Training;bap0301;bbp0201;bcp0401;bdp1001;bep0501;bfp1001;
Hours Weekdays Running Errands;bap0302;bbp0202;bcp0402;bdp1002;bep0502;bfp1002;
Hours Weekday Housework;bap0303;bbp0203;bcp0403;bdp1003;bep0503;bfp1003;
Hours Weekday Child Care;bap0304;bbp0204;bcp0404;bdp1004;bep0504;bfp1004;
Support Persons in Care, Weekday;bap0305;bbp0205;bcp0405;bdp1005;bep0505;bfp1005;
Hours Weekdays Training, Education;bap0306;bbp0206;bcp0406;bdp1006;bep0506;bfp1006;
Hours Weekday Repairs;bap0307;bbp0207;bcp0407;bdp1007;bep0507;bfp1007;
Hours Weekdays Physical Activities;bap0308;bbp0208;bcp0408;bdp1008;bep0508;bfp1008;
Hours Weekday Leisure, Hobbies;bap0309;bbp0209;bcp0409;bdp1009;bep0509;bfp1009;
Registered Unemployed;bap06;bbp06;bcp08;bdp15;bep09;bfp15;
Now Receiving Education, Training;bap07;bbp07;bcp09;bdp16;bep1001;bfp1601;
Now General-Education School;bap0801;bbp0801;bcp1001;bdp1701;bep1101;bfp1701;
Now Specialized College;bap0802;bbp0802;bcp1002;bdp1702;bep1102;bfp1702;
Vocational Training: Further Training/Retraining;bap0804;bbp0804;bcp1106;bdp1706;bep1106;bfp1707;
Now Vocational Training;bap0805;bbp0805;bcp1007;bdp1707;bep1107;bfp1709;
Left Job Since Beginning of Prev Year;bap75;bbp85;bcp73;bdp91;bep78;bfp26;
Last Job Ended - Item Nonresponse;bap76;bbp8603;bcp7403;bdp9203;bep7903;bfp2703;
Years Worked on Last Job;bap7701;bbp8701;bcp7501;bdp9301;bep8001;bfp2801;
Why Job Terminated;bap78;bbp88;bcp76;bdp94;bep81;bfp29;
Future Job Prospects;bap80;bbp90;bcp78;bdp96;bep83;bfp31;
Employment Status;bap09;bbp09;bcp11;bdp18;bep12;bfp32;
Monthly Salary at which would take Job;bap1401;bbp1401;bcp1601;bdp2301;bep1701;bfp3701;
Temporary or Contractual Basis;bap35;bbp39;bcp37;bdp48;bep37;bfp60;
Duration of Work ;bap36;bbp40;bcp38;bdp49;bep38;bfp61;
1-Euro-Job;NA;NA;NA;NA;NA;bfp62;
Just Gross Income;NA;NA;NA;NA;NA;bfp67;
Just Net Income;NA;NA;NA;NA;NA;bfp69;
Difficulty of Finding New Job;bap40;bbp46;bcp41;bdp55;bep40;bfp71;
Working Days per Week;NA;bbp5401;bcp4701;bdp6301;NA;bfp8001;
Contracted Working Hours;bap5001;bbp6301;bcp5001;bdp6501;bep4701;bfp8101;
Flexible Hours of Work per Week;bap5002;bbp6302;bcp5002;bdp6502;bep4702;bfp8102;
Hours per Week Actual;bap51;bbp64;bcp51;bdp66;bep48;bfp82;
